review_id,review_text,true_label,neg,neu,pos,compound,predicted_label
259,"Flat, lifeless prose with no sense of urgency or tension. Very dull.",Negative,0.454,0.546,0.0,-0.7574,Negative
260,"Terrible book. Lots of potential wasted on a messy, incoherent plot.",Negative,0.557,0.443,0.0,-0.8316,Negative
261,Badly written with too many clichés. Very hard to engage with the story.,Negative,0.275,0.573,0.153,-0.2799,Negative
262,A big letdown. The cover and description promised so much more than delivered.,Negative,0.0,0.815,0.185,0.3612,Positive
263,A mixed bag. Some chapters were engaging while others felt unnecessary.,Neutral,0.0,0.789,0.211,0.34,Positive
264,Repetitive and lacking originality. The author needed a much stronger editor.,Negative,0.159,0.635,0.206,0.1531,Positive
265,The characters are one-dimensional and the dialogue feels forced and unrealistic.,Negative,0.231,0.769,0.0,-0.4588,Negative
266,It was okay. Some interesting moments but nothing that left a lasting impression.,Neutral,0.0,0.614,0.386,0.5647,Positive
267,Absolutely loved this book! The characters were so well developed and the plot kept me hooked.,Positive,0.0,0.66,0.34,0.8034,Positive
268,"Dreadful pacing. Took forever to get anywhere, and the payoff was not worth it.",Negative,0.276,0.724,0.0,-0.5523,Negative
269,Loved the depth of the characters. The story is both moving and inspiring.,Positive,0.0,0.621,0.379,0.7717,Positive
270,Superb writing! Every chapter left me wanting more. An absolute must-read.,Positive,0.0,0.695,0.305,0.6588,Positive
271,Couldn't get past chapter three. The writing style was tedious and hard to follow.,Negative,0.097,0.903,0.0,-0.1027,Negative
272,"Competent but uninspiring. The book did what it set out to do, just about.",Neutral,0.0,0.887,0.113,0.1655,Positive
273,Fairly standard in terms of plot. Readable but not remarkable.,Neutral,0.302,0.698,0.0,-0.5975,Negative
274,Hard to follow and ultimately pointless. Didn't enjoy a single chapter.,Negative,0.335,0.665,0.0,-0.4639,Negative
275,Loved the depth of the characters. The story is both moving and inspiring.,Positive,0.0,0.621,0.379,0.7717,Positive
276,Absolutely loved this book! The characters were so well developed and the plot kept me hooked.,Positive,0.0,0.66,0.34,0.8034,Positive
277,Just okay. You could read it or skip it and not miss much either way.,Neutral,0.0,0.795,0.205,0.3278,Positive
278,One of the best books I have ever read. The author's storytelling is truly exceptional.,Positive,0.0,0.628,0.372,0.7964,Positive
279,Perfect blend of mystery and emotion. Couldn't stop reading. Highly recommend!,Positive,0.0,0.48,0.52,0.8259,Positive
280,Disjointed writing and a nonsensical conclusion. Very frustrating read.,Negative,0.478,0.522,0.0,-0.6697,Negative
281,Superb writing! Every chapter left me wanting more. An absolute must-read.,Positive,0.0,0.695,0.305,0.6588,Positive
282,The writing was competent but the story lacked real depth or originality.,Neutral,0.0,0.87,0.13,0.1655,Positive
283,Failed to connect with any character. The story felt hollow and pointless.,Negative,0.231,0.769,0.0,-0.5106,Negative
284,Superb writing! Every chapter left me wanting more. An absolute must-read.,Positive,0.0,0.695,0.305,0.6588,Positive
285,Hard to follow and ultimately pointless. Didn't enjoy a single chapter.,Negative,0.335,0.665,0.0,-0.4639,Negative
286,Not worth reading. The author spends too much time on irrelevant details.,Negative,0.132,0.868,0.0,-0.1695,Negative
287,Complete waste of money. The story goes nowhere and the ending is unsatisfying.,Negative,0.189,0.811,0.0,-0.4215,Negative
288,Excellent book. The world-building is extraordinary and the plot is gripping.,Positive,0.0,0.73,0.27,0.5719,Positive
289,"Dreadful pacing. Took forever to get anywhere, and the payoff was not worth it.",Negative,0.276,0.724,0.0,-0.5523,Negative
290,"The worst book I have read this year. Dull, lifeless, and deeply boring.",Negative,0.511,0.489,0.0,-0.8553,Negative
291,"Thoroughly enjoyed this. Smart, witty, and emotionally resonant. Great book.",Positive,0.0,0.386,0.614,0.9032,Positive
292,The writing is exquisite. Every sentence feels intentional and beautifully crafted.,Positive,0.0,0.643,0.357,0.6124,Positive
293,A passable story with forgettable characters. Exactly what you'd expect.,Neutral,0.0,1.0,0.0,0.0,Neutral
294,"Incredible journey from start to finish. Emotional, thought-provoking, and beautiful.",Positive,0.0,0.593,0.407,0.6705,Positive
295,Not terrible but not impressive either. A mostly forgettable experience.,Neutral,0.288,0.568,0.144,-0.4168,Negative
296,A big letdown. The cover and description promised so much more than delivered.,Negative,0.0,0.815,0.185,0.3612,Positive
297,Excellent book. The world-building is extraordinary and the plot is gripping.,Positive,0.0,0.73,0.27,0.5719,Positive
298,Not terrible but not impressive either. A mostly forgettable experience.,Neutral,0.288,0.568,0.144,-0.4168,Negative
299,Perfect blend of mystery and emotion. Couldn't stop reading. Highly recommend!,Positive,0.0,0.48,0.52,0.8259,Positive
